algoritmo,N,semilla,tiempo,nodos,exito
backtracking_n_queens,10,24,3.8623809814453125e-05,29,True
backtracking_n_queens,10,25,5.5789947509765625e-05,61,True
backtracking_n_queens,10,26,0.0002186298370361328,345,True
backtracking_n_queens,10,27,4.839897155761719e-05,53,True
backtracking_n_queens,10,28,4.100799560546875e-05,37,True
backtracking_n_queens,10,29,4.124641418457031e-05,35,True
forward_checking_n_queens,10,0,0.0005648136138916016,276,True
forward_checking_n_queens,10,1,5.435943603515625e-05,13,True
forward_checking_n_queens,10,2,0.00013566017150878906,58,True
forward_checking_n_queens,10,3,4.673004150390625e-05,11,True
forward_checking_n_queens,10,4,0.00012421607971191406,52,True
forward_checking_n_queens,10,5,0.00012683868408203125,56,True
forward_checking_n_queens,10,6,8.940696716308594e-05,35,True
forward_checking_n_queens,10,7,5.054473876953125e-05,14,True
forward_checking_n_queens,10,8,7.295608520507812e-05,27,True
forward_checking_n_queens,10,9,0.00013637542724609375,60,True
forward_checking_n_queens,10,10,4.6253204345703125e-05,11,True
forward_checking_n_queens,10,11,6.437301635742188e-05,21,True
forward_checking_n_queens,10,12,0.00014925003051757812,63,True
forward_checking_n_queens,10,13,8.20159912109375e-05,29,True
forward_checking_n_queens,10,14,0.0001201629638671875,48,True
forward_checking_n_queens,10,15,5.3882598876953125e-05,15,True
forward_checking_n_queens,10,16,0.00011944770812988281,50,True
forward_checking_n_queens,10,17,0.000118255615234375,52,True
forward_checking_n_queens,10,18,4.673004150390625e-05,12,True
forward_checking_n_queens,10,19,9.417533874511719e-05,35,True
forward_checking_n_queens,10,20,5.3882598876953125e-05,16,True
forward_checking_n_queens,10,21,4.982948303222656e-05,12,True
forward_checking_n_queens,10,22,7.05718994140625e-05,22,True
forward_checking_n_queens,10,23,6.270408630371094e-05,20,True
forward_checking_n_queens,10,24,0.00016832351684570312,57,True
forward_checking_n_queens,10,25,0.00024366378784179688,118,True
forward_checking_n_queens,10,26,0.0007631778717041016,390,True
forward_checking_n_queens,10,27,6.532669067382812e-05,19,True
forward_checking_n_queens,10,28,0.00014734268188476562,63,True
forward_checking_n_queens,10,29,0.00010037422180175781,41,True
