algorithm_name,env_n,size,best_solution,H,states,time
GA,15,8,"[4, 6, 1, 5, 2, 0, 3, 7]",0,400,0.026989221572875977
GA,16,8,"[6, 2, 7, 1, 4, 0, 5, 3]",0,300,0.010652303695678711
GA,17,8,"[3, 1, 6, 2, 5, 7, 0, 4]",0,1100,0.04870176315307617
GA,18,8,"[1, 6, 2, 5, 7, 4, 0, 3]",0,400,0.014710187911987305
GA,19,8,"[3, 0, 4, 7, 1, 6, 2, 5]",0,400,0.018090248107910156
GA,20,8,"[1, 5, 0, 6, 3, 7, 2, 4]",0,500,0.022002696990966797
GA,21,8,"[3, 1, 7, 5, 0, 2, 4, 6]",0,400,0.015857696533203125
GA,22,8,"[4, 6, 1, 5, 2, 0, 7, 3]",0,300,0.011445283889770508
GA,23,8,"[2, 5, 1, 6, 4, 0, 7, 3]",0,400,0.016361236572265625
GA,24,8,"[6, 2, 0, 5, 7, 4, 1, 3]",0,200,0.00875401496887207
GA,25,8,"[5, 3, 1, 7, 4, 6, 0, 2]",0,400,0.020200490951538086
GA,26,8,"[2, 6, 1, 7, 4, 0, 3, 5]",0,600,0.02802562713623047
GA,27,8,"[1, 4, 6, 3, 0, 7, 5, 2]",0,200,0.005948305130004883
GA,28,8,"[3, 7, 4, 2, 0, 6, 1, 5]",0,400,0.015654802322387695
GA,29,8,"[2, 5, 1, 6, 0, 3, 7, 4]",0,700,0.032637834548950195
random,0,10,"[8, 1, 1, 9, 7, 0, 3, 6, 9, 5]",3,10000,0.20375752449035645
random,1,10,"[5, 7, 1, 3, 0, 9, 0, 8, 1, 4]",3,10000,0.16176605224609375
random,2,10,"[4, 2, 8, 3, 9, 6, 5, 2, 0, 7]",3,10000,0.15387296676635742
random,3,10,"[1, 8, 2, 7, 4, 2, 0, 6, 3, 5]",2,10000,0.15285539627075195
random,4,10,"[6, 7, 4, 1, 8, 0, 5, 3, 2, 9]",3,10000,0.19823217391967773
random,5,10,"[8, 4, 0, 0, 9, 5, 1, 2, 7, 3]",2,10000,0.1549985408782959
